DESC,BED,BATH,PRICE,LOCATION
3 BEDROOM ROOM FLAT FOR RENT AT ASHALEY BOTWE,3,3,"1200","Accra, Apartments"
EXEC. CHAMBER AND HALL S/C @ HAATSO 4 RENT,1,1,700,"Accra, Apartments"
Noble 2bedroom Apartment With 2washroms For Rent Spintex,2,2,850,"Accra, Apartments"
Fresh And Modern 3bedroom Apartment For Rent Spintex 1yr,3,3,"2000","Accra, Apartments"
Excellent 2bed self contain at Pokuase for rent,2,2,"1200","Accra, Apartments"
Gated 2bedroom Apartment For Rent Spintex,2,1,600,"Accra, Apartments"
Spacious And Affordable Chamber&hall Self Contained For Rent Spintex,1,1,400,"Accra, Apartments"
An Excellent Singleroom Self Contained For Rent At Spintex,1,1,400,"Accra, Apartments"
New And Modern 3bedroom House At Com.23 For Rent 1year,3,2,"1500","Accra, Houses"
New down shop @ East Legon for rent,14*16 m²,"Accra, Commercial Property"
2bedroom Apartment For Rent Spintex,2,1,"1000","Accra, Apartments"
Chamber and hall self contain for rent at Haasto,1,1,"Accra, Apartments"
EXEC. CHAMBER AND HALL S/C @ NORTH LEGON 4 RENT,1,1,850,"Accra, Apartments"
EXEC. 4 BEDROOM HOUSE @ HAATSO RENT,4,3,"2500","Accra, Houses"
EXEC. 4 BEDROOM HOUSE @ ADENTA RENT,4,4,"2000","Accra, Houses"
ISRAEL SINGLE ROOM FOR RENT LAPAZ,,"Accra, Rooms"
4 Bedroom House for Rent at Kwabenya.,4,3,"Accra, Houses"
3 Bedroom House for rent at Pokuase.,3,2,"Accra, Houses"
3 Bedroom House for Rent at Kwabenya.,3,2,"Accra, Houses"
EXEC. 3 BEDROOM APT. @ KASOA 4 RENT,3,2,"1400","Accra, Apartments"
Stunning Singleroom Self Contained For Rent Spintex,1,1,500,"Accra, Apartments"
Fablous modern 3bedrm wit 3washrm for rent in Spintex,3,3,"1200","Accra, Apartments"
Executive Singleroom Self Contained Up For Rent Spintex 1yr,1,1,500,"Accra, Apartments"
CHAMBER AND HALL SELF CONTAIN FOR RENT LOCATED AT ASHALEY BOTWE,1,1,"Accra, Apartments"
Fantastic Modern 4bedroom House For Rent At Spintex,4,5,"3300","Accra, Houses"
EXECUTIVE 2BEDROOM SELF CONTAIN FOR RENT LOCATED AT EAST LEGON,2,2,"Accra, Apartments"
EXECUTIVE 2BEDROOM SELF CONTAIN FOR RENT LOCATED AT ASHALEY BOTWE,2,2,"Accra, Apartments"
2Bedroom Apartment For Rent At Pokuase,2,3,600,"Accra, Apartments"
Awoshie Palastown 3 Bedrooms Apartment For Rent,3,2,"Accra, Apartments"
Chamber And Hall Self Contain In Pantang Junction For Rent,1,1,500,"Accra, Apartments"
Newly Built 3bedrooms Apartment In East Legon Hills For Rent,3,3,"1800","Accra, Apartments"
Fully Furnished 2bedrooms Apartment In West Trassaco For Rent,2,2,"7540","Accra, Apartments"
Executive 2 Bedroom RoadSide Apart For Rent - Oyarifa,2,3,"Accra, Apartments"
2bedrooms Apartment In Lakeside For Rent,2,2,"1000","Accra, Apartments"
2bed rooms apartment for rent at Awoshie onyinase,2,1,800,"Accra, Apartments"
weija tetegu neat chamber and hall self contain for rent,1,1,"Accra, Apartments"
North kaneshie executive 4 bedrooms apartment for rent,4,4,"Accra, Apartments"
North Kaneshie 3 Bedrooms Apartment For Rent,3,3,"Accra, Apartments"
newly built 2bedroom for rent at labadi,2,3,"Accra, Apartments"
executive single room self contained for rent at labadi,1,1,"Accra, Apartments"
single room self contained for rent at labadi,1,1,"Accra, Apartments"
single room selfcontain for rent spintex,1,1,300,"Accra, Apartments"
3 bed apartment for rent at mallam Julicate,3,1,800,"Accra, Apartments"
single room self contained for rent at teshi,1,1,"Accra, Apartments"
Two bedrooms apartment for rent at Teshi camp2,2,2,"Accra, Apartments"
singleroom self-contained for rent@scc good shepherd,1,1,"Accra, Apartments"
Four bedroom townhouse for rent airport residential,4,5,"32910","Accra, Houses"
Neat 2 bedroom apartment for rent at East Legon,2,2,"Accra, Apartments"
Two bedrooms apartment for rent at Ablekuma Pentecost junction,2,2,900,"Accra, Apartments"
EastLegon Hills 4Bed self house for Rent,4,5,"5200","Accra, Houses"
Osu Executive 2 Bedrooms Apartment For Rent,2,3,"Accra, Apartments"
Executive 2 bes self contain 4 rent at botwe,2,1,"1000","Accra, Apartments"
Executive 2 Bedroom Apartment For Rent At Ashongman,2,2,"1300","Accra, Apartments"
Executive 4 Bedroom House For Rent At East Legon Hills,4,3,"2000","Accra, Houses"
Executive 2 Bedroom Apartment For Rent At Osu,2,3,"9180","Accra, Apartments"
Executive 3 Bedroom House For Rent At Tema,3,4,"2800","Accra, Houses"
Executive 3 Bedroom House For Rent At Osu,3,3,"5500","Accra, Houses"
Executive 5 Bedroom House For Rent At Taifa,5,5,"3600","Accra, Houses"
4 bedroom house for rent at Lakeside,4,5,"3800","Accra, Houses"
3bedrooms Apartment In East Legon Hills For Rent,3,3,"1700","Accra, Apartments"
ELEGANT 6 BEDROOM HOUSE @ TSEADDO 4 RENT,6,5,"5000","Accra, Houses"
EXEC. 2 BEDROOM APT NEAR WEST HILLS MALL 4 RENT,2,2,"1200","Accra, Apartments"
Exe C/H self contain for rent at Medie,1,1,"Accra, Apartments"
NEWLY BUILT 2 BEDROOMS APARTMENT FOR RENT AT NMAI DZORN SCHOOL JUNCTION,2,2,"1700","Accra, Apartments"
Two bed room flat at Pankrono-Estate for rent,2,2,"1000","Kumasi, Houses"
2bedroom apartment for rent at lakeside estate,2,2,"Accra, Apartments"
Single Room With Porch For Rent At Madina,100,"Accra, Rooms"
furnished apartments for rent at Adjiringanor,1,1,"Accra, Apartments"
EXEC. 2 BEDROOM APT @ WEIJA 4 RENT,2,2,900,"Accra, Apartments"
6Bed Office Space for rent at Circle asylum,100 m²,"27000","Accra, Commercial Property"
EXEC. 3 BEDROOM HOUSE @ MATAHEKO 4 RENT,3,2,"1300","Accra, Houses"
EXEC. 3 BEDROOM S/C @ DOME 4 RENT,3,2,"3000","Accra, Houses"
EXEC. 4 BEDROOM HOUSE @ DOME RENT,4,4,"2700","Accra, Houses"
FULLY FURNISHED 3 BEDROOM S/C @ ACHIMOTA 4 RENT,3,2,"5130","Accra, Apartments"
Apartment for rent at Abeka Lapaz,1,1,"Accra, Apartments"
3 bedroom apartment for rent at Spintex Kasapreko,3,2,"1000","Accra, Apartments"
Newly built 2 bed self contain 4 rent at botwe,2,1,"1000","Accra, Apartments"
2 bed room apartment for rent at Mallam Gbwe,2,2,750,"Accra, Apartments"
5 Bedroom house for rent East Legon,5,6,"4000","Accra, Houses"
3 bedrooms apartment for rent at Awoshie NIC,3,3,"1000","Accra, Apartments"
New And Modern 3bedroom House For Rent At Com.23,3,2,"1500","Accra, Houses"
