Name,What,Region,Country,Lat,Long,Elev
Abakrampaa,3,4,5.2480833,-1.2407508,0,80445
Abandze,3,4,5.1932806,-1.0969376,0,80445
Abrafo,3,4,5.3409804,-1.386981,0,80445
Abura-Dunkwaa,3,4,5.3407027,-1.1788631,0,80445
Adukrom,3,4,6.0147937,-0.0952293,0,80445
Afransi,3,4,5.5069386,-0.759902,0,80445
Agona Abirem,3,4,5.9328271,-1.120315,0,80445
Agona Swedru,3,4,5.5322261,-0.7159569,0,80445
Ajumako,3,4,5.4663666,-0.9426784,0,80445
Amissano,3,4,5.1401998,-1.3454396,0,80445
Ankaful,3,4,5.150851,-1.3334074,0,80445
Anomabu,3,4,5.1774135,-1.1316777,0,80445
Anyimon,3,4,5.2062412,-1.1744535,0,80445
Apam,3,4,5.2949805,-0.7533362,0,80445
Asamankese,3,4,5.8621519,-0.6840278,0,80445
Asankragua,3,4,5.8103018,-2.4446727,0,80445
Asebu,3,4,5.2062412,-1.1744535,0,80445
Asikuma,3,4,5.6410176,-1.1574829,0,80445
Assin Asempaneye,3,4,5.9849014,-0.5846421,0,80445
Assin Darmang,3,4,5.9849014,-0.5846421,0,80445
Assin Foso,3,4,5.6818379,-1.3094337,0,80445
Assin Kyekyewere,3,4,5.6691121,-1.833299,0,80445
Assin Manso,3,4,5.5227118,-1.1693144,0,80445
Assin Nsuta,3,4,5.6134766,-1.2264776,0,80445
Assin Nyankomaso,3,4,5.7556498,-1.2964297,0,80445
Assin Praso,3,4,5.9218524,-1.371317,0,80445
Asutsuare,3,4,6.0770694,0.1727528,0,80445
Asylum Down,3,4,5.5698104,-0.2103422,0,80445
Awutu Breku,3,4,5.6984623,-0.6153194,0,80445
Awutu Senya,3,4,5.5360606,-0.6481483,0,80445
Ayanfuri,3,4,5.9639715,-1.9008064,0,80445
Beposo,3,4,6.4552728,-1.316911,0,80445
Besease,3,4,5.5562858,-1.1998272,0,80445
Biriwa,3,4,5.164228,-1.1631776,0,80445
Breman Asikuma,3,4,5.6410176,-1.1574829,0,80445
Buduburam,3,4,5.5240358,-0.4863377,0,80445
Cape Coast,3,4,5.11,-1.24,0,80445
Dawurampon,3,4,5.4182988,-0.8584059,0,80445
Diaso,3,4,6.1540167,-2.1622896,0,80445
Dunkwa On-Ofin,3,4,5.9670762,-1.803303,0,80445
Effutu,3,4,5.5893193,-0.2701481,0,80445
Ekumfi,3,4,5.3050497,-0.8963192,0,80445
Elmina,3,4,5.0956243,-1.3589146,0,80445
Esakyir,3,4,5.3181094,-0.8980357,0,80445
Fosu,3,4,5.6818379,-1.3094337,0,80445
Gomoa Amoanda,3,4,5.5212969,-0.5790728,0,80445
Gomoa Mpota,3,4,5.4031356,-0.634115,0,80445
Hemang,3,4,5.5058099,-1.8327101,0,80445
Jukwa,3,4,5.2510614,-1.3835478,0,80445
Kasoa,3,4,5.5268022,-0.4718212,0,80445
Komenda,3,4,5.055186,-1.5011359,0,80445
Kwamankese,3,4,5.2542674,-1.3398302,0,80445
Kwanyako,3,4,5.5970539,-0.6533886,0,80445
Mankesim,3,4,5.2751953,-1.0360195,0,80445
Moree,3,4,5.1294893,-1.2076271,0,80445
Mozano,3,4,5.4699585,-0.8194773,0,80445
Mumford,3,4,5.2664137,-0.7659102,0,80445
Nsaba,3,4,5.6467479,-0.7677287,0,80445
Nyakrom,3,4,5.6326742,-0.8846355,0,80445
Nyankumase Ahenkro,3,4,5.3783278,-1.1473516,0,80445
Odoben,3,4,5.6332779,-0.8922818,0,80445
Otuam,3,4,5.2115621,-0.8188704,0,80445
Potsin,3,4,5.4598238,-0.6016057,0,80445
Saltpond,3,4,5.2013688,-1.0690858,0,80445
Senya,3,4,5.5360606,-0.6481483,0,80445
Senya Breku,3,4,5.3899031,-0.5040408,0,80445
Twifo hemang,3,4,5.5058099,-1.8327101,0,80445
Twifo Praso,3,4,5.6076142,-1.5598442,0,80445
Winneba,3,4,5.3663054,-0.6641372,0,80445
Yamoransa,3,4,5.1640998,-1.2091399,0,80445
Abetifi,3,5,6.6727485,-0.762048,830,88715
Abiriw,3,5,5.9769999,-0.0985457,830,88715
Abomosu,3,5,6.30496,-0.7375028,830,88715
Aburi,3,5,5.8504545,-0.1911774,830,88715
Achiasi,3,5,6.9057755,-1.7365799,830,88715
Adeiso,3,5,5.7941629,-0.4970885,830,88715
Adiemmra,3,5,4.9367729,-1.7380285,830,88715
Adoagyiri,3,5,5.8152497,-0.3607714,830,88715
Agormanya,3,5,6.1460103,-0.0125782,830,88715
Akim,3,5,6.2128401,-1.3491057,830,88715
Akim Begoro,3,5,6.385098,-0.3931477,830,88715
Akim Oda,3,5,5.9281471,-1.0143908,830,88715
Akim Swedru,3,5,5.9281471,-1.0143908,830,88715
Akim Tafo,3,5,6.2162622,-0.3795348,830,88715
Akosombo,3,5,6.269037,-0.0380659,830,88715
Akropong,3,5,5.9069101,-0.3188229,830,88715
Akuapem-Akropong,3,5,5.9733507,-0.1074602,830,88715
Akuapim South,3,5,5.8392122,-0.3579055,830,88715
Akuapim-Mampong,3,5,5.8760107,-0.15863,830,88715
Akuse,3,5,6.1001324,-0.1178201,830,88715
Akwamufie,3,5,6.2795368,-0.070203,830,88715
Akwatia,3,5,5.8436694,-0.7960408,830,88715
Akyemansa,3,5,5.9298121,-0.9836351,830,88715
Amanokrom,3,5,5.9322257,-0.1323471,830,88715
Anum,3,5,6.4987131,-0.1379054,830,88715
Anum-Boso,3,5,6.4987978,-0.1379054,830,88715
Anyinam,3,5,6.3730922,-0.5575134,830,88715
Apedwa,3,5,6.1234861,-0.5086758,830,88715
Asafo-Akyem,3,5,7.943638,-5.5320228,830,88715
Asamankese,3,5,5.8621519,-0.6840278,830,88715
Asesewa,3,5,6.3972533,-0.1508475,830,88715
Asiakwa,3,5,6.2611879,-0.5124951,830,88715
Asuboe,3,5,5.9486161,-0.4170943,830,88715
Asuogyaman,3,5,6.045048,-0.626639,830,88715
Atibie,3,5,6.5799889,-0.7407833,830,88715
Atimpoku,3,5,6.2061117,-0.0739432,830,88715
Atiwa,3,5,6.2850116,-0.8193529,830,88715
Ayensuano,3,5,6.3134302,-0.5993447,830,88715
Begoro,3,5,6.385098,-0.3931477,830,88715
Berekuso,3,5,5.7565547,-0.2355475,830,88715
Boso,3,5,6.2839674,-0.5350685,830,88715
Coaltar,3,5,5.9786883,-0.6234884,830,88715
Dago,3,5,5.9800944,-1.0439375,830,88715
Dawu,3,5,22.3776596,-120.8305028,830,88715
Denkyembour,3,5,6.4590032,-1.0233677,830,88715
Densuano (Koforidua),3,5,6.0731054,-0.2901535,830,88715
Donkorkrom,3,5,7.0436744,-0.0912809,830,88715
Enyiresi,3,5,6.4330765,-0.5922318,830,88715
Fanteakwa,3,5,6.4263225,-0.6376035,830,88715
Jejeti,3,5,6.4738436,-0.6568193,830,88715
Kade,3,5,6.0967738,-0.853801,830,88715
Kibi,3,5,6.1206382,-0.5955493,830,88715
Koforidua,3,5,6.1132437,-0.412014,830,88715
Koforidua-Asokore,3,5,6.1123314,-0.282012,830,88715
Koforidua-Effiduase,3,5,6.1096027,-0.2735823,830,88715
Kpong,3,5,6.158966,-0.0497389,830,88715
Krobo Odumase,3,5,5.9596067,-0.0295255,830,88715
Kukurantumi,3,5,7.2819356,-0.5801185,830,88715
Kwabeng,3,5,6.3134302,-0.5993447,830,88715
Kwabeng,3,5,6.3134302,-0.5993447,830,88715
Kwaebibirem,3,5,6.1957916,-0.9702433,830,88715
Kwahu Afram Plains North,3,5,6.1976694,-1.9516641,830,88715
Kwahu Afram Plains South,3,5,6.2007781,-1.9517146,830,88715
Kwahu Asafo,3,5,6.5000211,-0.5087548,830,88715
Kwahu East,3,5,6.6032428,-0.9291274,830,88715
Kwahu South,3,5,6.631392,-0.9291274,830,88715
Larteh Akuapem,3,5,5.9339784,-0.0910599,830,88715
Lower Manya Krobo,3,5,6.1168768,-0.3408909,830,88715
Manhyia,3,5,6.7051106,-1.6182089,830,88715
Manya Krobo,3,5,6.3297929,-0.4141049,830,88715
Mpraeso,3,5,6.6049497,-0.7159889,830,88715
New Abirem,3,5,6.3387151,-1.0142615,830,88715
New-Juaben,3,5,6.1255231,-0.3853834,830,88715
Nkawkaw,3,5,6.5506987,-0.7895996,830,88715
Nkwatia Kwahu,3,5,6.6325944,-0.755482,830,88715
Nsawam,3,5,5.8181989,-0.3830419,830,88715
